file,label,temperature,percentage,count,mean,std,median,p25,p75,min,max,light_condition
CdTe_0per_350C_2.gwy,1,350,0,8839,1.2320717573165894,0.15926837921142578,1.230487585067749,1.1248950958251953,1.3382163047790527,0.5905241370201111,1.8136873245239258,
CdTe_0per_350C_2.gwy,2,350,0,5561,1.4203518629074097,0.15532980859279633,1.4129854440689087,1.3131914138793945,1.5240710973739624,0.21240559220314026,1.9754329919815063,
CdTe_0per_350C_3.gwy,1,350,0,6873,-0.46063026785850525,0.17789402604103088,-0.46570536494255066,-0.5789272785186768,-0.34271764755249023,-1.1163500547409058,0.16449226438999176,
CdTe_0per_350C_3.gwy,2,350,0,7527,-0.26675406098365784,0.18005140125751495,-0.2691691517829895,-0.38895246386528015,-0.14679178595542908,-0.8441290855407715,0.3350881338119507,
CdTe_0per_350C_4.gwy,1,350,0,9296,-1.0270090103149414,0.2590104937553406,-1.0287632942199707,-1.1987488269805908,-0.8487067818641663,-2.3956663608551025,-0.09857328236103058,
CdTe_0per_350C_4.gwy,2,350,0,5104,-0.717147946357727,0.22235624492168427,-0.7026779651641846,-0.8612192273139954,-0.5593957304954529,-1.7441061735153198,-0.022888533771038055,
CdTe_7per_350C_5.gwy,1,350,7,10332,-1.0174236297607422,0.16268202662467957,-1.008926510810852,-1.1103227138519287,-0.9161517024040222,-3.247425079345703,-0.40863659977912903,
CdTe_7per_350C_5.gwy,2,350,7,4068,-0.8145939111709595,0.1626584529876709,-0.8139162659645081,-0.9185931086540222,-0.7113755941390991,-1.855191946029663,-0.2658121585845947,
CdTe_7per_350C_6.gwy,1,350,7,10387,-1.0310841798782349,0.1840529590845108,-1.0241855382919312,-1.1459524631500244,-0.9068436622619629,-2.7481496334075928,-0.4583809971809387,
CdTe_7per_350C_6.gwy,2,350,7,4013,-0.7650086283683777,0.15253987908363342,-0.7650873064994812,-0.8670175671577454,-0.6646829843521118,-1.3650720119476318,-0.22674906253814697,
CdTe_7per_350C_8.gwy,1,350,7,9354,-1.0325285196304321,0.1450965404510498,-1.0284581184387207,-1.1187914609909058,-0.9347676634788513,-1.9021897315979004,-0.5804532170295715,
CdTe_7per_350C_8.gwy,2,350,7,5046,-0.7884397506713867,0.17366798222064972,-0.7895017862319946,-0.8999007940292358,-0.6797131299972534,-2.035553455352783,-0.21576257050037384,
CdTe_7per_400C_16.gwy,1,400,7,10476,-1.5294718742370605,0.18498888611793518,-1.5222400426864624,-1.6501107215881348,-1.4049744606018066,-2.2177462577819824,-0.8538948893547058,
CdTe_7per_400C_16.gwy,2,400,7,3924,-1.2647088766098022,0.1678975373506546,-1.2686351537704468,-1.3788052797317505,-1.1538872718811035,-1.8783856630325317,-0.6344701647758484,
CdTe_7per_400C_17.gwy,1,400,7,10358,-1.9871407747268677,0.18182271718978882,-1.982146978378296,-2.1042191982269287,-1.8625925779342651,-3.1345083713531494,-1.3818570375442505,
CdTe_7per_400C_17.gwy,2,400,7,4042,-1.7879269123077393,0.18227946758270264,-1.7822537422180176,-1.8826581239700317,-1.684901237487793,-4.928969383239746,-1.2280460596084595,
CdTe_7per_425C_12.gwy,1,425,7,9060,-1.311755657196045,0.2481754720211029,-1.304341197013855,-1.4652475118637085,-1.1450369358062744,-4.929579734802246,-0.43701839447021484,
CdTe_7per_425C_12.gwy,2,425,7,5340,-0.9539163112640381,0.21764303743839264,-0.9494163393974304,-1.0867475271224976,-0.8141450881958008,-3.7778286933898926,-0.2685587704181671,
CdTe_7per_425C_13.gwy,1,425,7,8928,-1.76071298122406,0.19865445792675018,-1.7611963748931885,-1.8970016241073608,-1.6220340728759766,-2.464026927947998,-1.1721980571746826,
CdTe_7per_425C_13.gwy,2,425,7,5472,-1.4747618436813354,0.172127828001976,-1.4715800285339355,-1.5893797874450684,-1.3562219142913818,-2.2317845821380615,-0.9256122708320618,
CdTe_7per_425C_9.gwy,1,425,7,10198,-1.2838935852050781,0.28167620301246643,-1.2622262239456177,-1.4258029460906982,-1.1057449579238892,-4.929579734802246,-0.3192187249660492,
CdTe_7per_425C_9.gwy,2,425,7,4202,-1.0176043510437012,0.2680933475494385,-1.0003814697265625,-1.1554131507873535,-0.8564125895500183,-4.599374294281006,-0.20355534553527832,
