file,label,temperature,percentage,count,mean,std,median,p25,p75,min,max,light_condition
CdTe_0per_350C_2.gwy,1,350,0,8839,0.00012320716632530093,1.5926838386803865e-05,0.00012304875417612493,0.00011248951341258362,0.00013382162433117628,5.905241778236814e-05,0.0001813687413232401,ON
CdTe_0per_350C_2.gwy,2,350,0,5561,0.0001420351763954386,1.5532979887211695e-05,0.00014129854389466345,0.00013131914602126926,0.000152407112182118,2.1240559362922795e-05,0.00019754329696297646,ON
CdTe_0per_350C_3.gwy,1,350,0,6873,-4.6063029003562406e-05,1.7789403500501066e-05,-4.6570534323109314e-05,-5.789272836409509e-05,-3.4271764889126644e-05,-0.00011163500312250108,1.6449226677650586e-05,OFF
CdTe_0per_350C_3.gwy,2,350,0,7527,-2.6675406843423843e-05,1.8005139281740412e-05,-2.691691588552203e-05,-3.8895248508197255e-05,-1.4679179002996534e-05,-8.441290992777795e-05,3.3508811611682177e-05,OFF
CdTe_0per_350C_4.gwy,1,350,0,9296,-0.00010270090569974855,2.590104668342974e-05,-0.00010287632903782651,-0.00011987487960141152,-8.487068407703191e-05,-0.0002395666524535045,-9.857328223006334e-06,OFF
CdTe_0per_350C_4.gwy,2,350,0,5104,-7.171479956014082e-05,2.223562478320673e-05,-7.026779348962009e-05,-8.612192323198542e-05,-5.59395739401225e-05,-0.00017441062664147466,-2.288853238496813e-06,OFF
CdTe_7per_350C_5.gwy,1,350,7,10332,-0.00010174235649174079,1.6268202671199106e-05,-0.00010089265560964122,-0.00011103227370767854,-9.161516936728731e-05,-0.0003247425192967057,-4.086366243427619e-05,OFF
CdTe_7per_350C_5.gwy,2,350,7,4068,-8.145938772941008e-05,1.626584526093211e-05,-8.139162673614919e-05,-9.185931412503123e-05,-7.113756146281958e-05,-0.0001855191949289292,-2.6581215934129432e-05,OFF
CdTe_7per_350C_6.gwy,1,350,7,10387,-0.0001031084029818885,1.8405295122647658e-05,-0.00010241855488857254,-0.00011459524830570444,-9.068436338566244e-05,-0.0002748149854596704,-4.583810004987754e-05,OFF
CdTe_7per_350C_6.gwy,2,350,7,4013,-7.650086627108976e-05,1.5253986930474639e-05,-7.65087315812707e-05,-8.670175884617493e-05,-6.646829569945112e-05,-0.00013650720939040184,-2.2674905267194845e-05,OFF
CdTe_7per_350C_8.gwy,1,350,7,9354,-0.0001032528598443605,1.4509654647554271e-05,-0.00010284580639563501,-0.000111879147880245,-9.347676677862182e-05,-0.00019021896878257394,-5.804531974717975e-05,ON.
CdTe_7per_350C_8.gwy,2,350,7,5046,-7.884397200541571e-05,1.7366797692375258e-05,-7.895017915870994e-05,-8.999008059618063e-05,-6.797131572966464e-05,-0.00020355534798000008,-2.157625749532599e-05,ON.
CdTe_7per_400C_16.gwy,1,400,7,10476,-0.00015294717741198838,1.8498887584428303e-05,-0.00015222400543279946,-0.00016501106438226998,-0.00014049744277144782,-0.00022177463688421994,-8.538948895875365e-05,OFF
CdTe_7per_400C_16.gwy,2,400,7,3924,-0.00012647088442463428,1.678975240793079e-05,-0.00012686350964941084,-0.00013788053183816373,-0.00011538872786331922,-0.0001878385664895177,-6.344701250782236e-05,OFF
CdTe_7per_400C_17.gwy,1,400,7,10358,-0.00019871408585458994,1.8182270650868304e-05,-0.00019821469322778285,-0.00021042191656306386,-0.00018625925076776184,-0.00031345084425993264,-0.00013818570005241781,ON
CdTe_7per_400C_17.gwy,2,400,7,4042,-0.00017879268852993846,1.822794547479134e-05,-0.00017822538211476058,-0.00018826581072062254,-0.0001684901217231527,-0.0004928969428874552,-0.0001228046021424234,ON
CdTe_7per_425C_12.gwy,1,425,7,9060,-0.00013117556227371097,2.4817545636324212e-05,-0.00013043411308899522,-0.0001465247514715884,-0.00011450369493104517,-0.0004929579445160925,-4.370183887658641e-05,OFF
CdTe_7per_425C_12.gwy,2,425,7,5340,-9.539161692373455e-05,2.1764302800875157e-05,-9.494163532508537e-05,-0.00010867475066334009,-8.14145114418352e-05,-0.000377782853320241,-2.6855877877096646e-05,OFF
CdTe_7per_425C_13.gwy,1,425,7,8928,-0.0001760712912073359,1.986544521059841e-05,-0.00017611963266972452,-0.0001897001639008522,-0.00016220340330619365,-0.00024640269111841917,-0.00011721980990841985,ON
CdTe_7per_425C_13.gwy,2,425,7,5472,-0.00014747618115507066,1.721278385957703e-05,-0.00014715800352860242,-0.00015893796808086336,-0.00013562219101004303,-0.0002231784601463005,-9.256122575607151e-05,ON
CdTe_7per_425C_9.gwy,1,425,7,10198,-0.00012838936527259648,2.81676220765803e-05,-0.00012622262875083834,-0.00014258029113989323,-0.00011057449955842458,-0.0004929579445160925,-3.192187432432547e-05,OFF
CdTe_7per_425C_9.gwy,2,425,7,4202,-0.00010176045179832727,2.6809333576238714e-05,-0.00010003814531955868,-0.00011554131197044626,-8.564125710108783e-05,-0.00045993743697181344,-2.035553552559577e-05,OFF
