file,label,temperature,percentage,count,mean,std,median,p25,p75,min,max,light_condition,Surface_photo_voltage
CdTe_0per_350C_2.gwy,1,350,0,8839,0.0001232071663253,1.5926838386803865e-05,0.0001230487541761,0.0001124895134125,0.0001338216243311,5.905241778236814e-05,0.0001813687413232,ON,0.00016927019532886242
CdTe_0per_350C_2.gwy,2,350,0,5561,0.0001420351763954,1.5532979887211695e-05,0.0001412985438946,0.0001313191460212,0.0001524071121821,2.1240559362922795e-05,0.0001975432969629,ON,0.00016871058323882383
CdTe_0per_350C_3.gwy,1,350,0,6873,-4.6063029003562406e-05,1.7789403500501066e-05,-4.6570534323109314e-05,-5.789272836409509e-05,-3.4271764889126644e-05,-0.0001116350031225,1.6449226677650586e-05,OFF,0.00016927019532886242
CdTe_0per_350C_3.gwy,2,350,0,7527,-2.6675406843423843e-05,1.8005139281740412e-05,-2.691691588552203e-05,-3.8895248508197255e-05,-1.4679179002996534e-05,-8.441290992777795e-05,3.3508811611682177e-05,OFF,0.00016871058323882383
CdTe_0per_350C_4.gwy,1,350,0,9296,-0.0001027009056997,2.590104668342974e-05,-0.0001028763290378,-0.0001198748796014,-8.487068407703191e-05,-0.0002395666524535,-9.857328223006334e-06,OFF,0.00016927019532886242
CdTe_0per_350C_4.gwy,2,350,0,5104,-7.171479956014082e-05,2.223562478320673e-05,-7.026779348962009e-05,-8.612192323198542e-05,-5.59395739401225e-05,-0.0001744106266414,-2.288853238496813e-06,OFF,0.00016871058323882383
CdTe_7per_350C_5.gwy,1,350,7,10332,-0.0001017423564917,1.6268202671199106e-05,-0.0001008926556096,-0.0001110322737076,-9.161516936728732e-05,-0.0003247425192967,-4.086366243427619e-05,OFF,0.00016927019532886242
CdTe_7per_350C_5.gwy,2,350,7,4068,-8.145938772941008e-05,1.626584526093211e-05,-8.139162673614919e-05,-9.185931412503125e-05,-7.113756146281958e-05,-0.0001855191949289,-2.6581215934129432e-05,OFF,0.00016871058323882383
CdTe_7per_350C_6.gwy,1,350,7,10387,-0.0001031084029818,1.8405295122647655e-05,-0.0001024185548885,-0.0001145952483057,-9.068436338566244e-05,-0.0002748149854596,-4.583810004987754e-05,OFF,0.00016927019532886242
CdTe_7per_350C_6.gwy,2,350,7,4013,-7.650086627108976e-05,1.525398693047464e-05,-7.65087315812707e-05,-8.670175884617493e-05,-6.646829569945112e-05,-0.0001365072093904,-2.2674905267194845e-05,OFF,0.00016871058323882383
CdTe_7per_350C_8.gwy,1,350,7,9354,-0.0001032528598443,1.4509654647554273e-05,-0.0001028458063956,-0.0001118791478802,-9.347676677862182e-05,-0.0001902189687825,-5.804531974717975e-05,ON.,0.00016927019532886242
CdTe_7per_350C_8.gwy,2,350,7,5046,-7.884397200541571e-05,1.7366797692375258e-05,-7.895017915870994e-05,-8.999008059618063e-05,-6.797131572966464e-05,-0.00020355534798,-2.157625749532599e-05,ON.,0.00016871058323882383
CdTe_7per_400C_16.gwy,1,400,7,10476,-0.0001529471774119,1.8498887584428303e-05,-0.0001522240054327,-0.0001650110643822,-0.0001404974427714,-0.0002217746368842,-8.538948895875365e-05,OFF,-4.5766908442600017e-05
CdTe_7per_400C_16.gwy,2,400,7,3924,-0.0001264708844246,1.678975240793079e-05,-0.0001268635096494,-0.0001378805318381,-0.0001153887278633,-0.0001878385664895,-6.344701250782236e-05,OFF,-5.232180410530001e-05
CdTe_7per_400C_17.gwy,1,400,7,10358,-0.0001987140858545,1.8182270650868304e-05,-0.0001982146932277,-0.000210421916563,-0.0001862592507677,-0.0003134508442599,-0.0001381857000524,ON,-4.5766908442600017e-05
CdTe_7per_400C_17.gwy,2,400,7,4042,-0.0001787926885299,1.822794547479134e-05,-0.0001782253821147,-0.0001882658107206,-0.0001684901217231,-0.0004928969428874,-0.0001228046021424,ON,-5.232180410530001e-05
CdTe_7per_425C_12.gwy,1,425,7,9060,-0.0001311755622737,2.481754563632421e-05,-0.0001304341130889,-0.0001465247514715,-0.000114503694931,-0.000492957944516,-4.370183887658641e-05,OFF,-4.4895728933600014e-05
CdTe_7per_425C_12.gwy,2,425,7,5340,-9.539161692373456e-05,2.176430280087516e-05,-9.494163532508536e-05,-0.0001086747506633,-8.14145114418352e-05,-0.0003777828533202,-2.685587787709665e-05,OFF,-5.208456423126544e-05
CdTe_7per_425C_13.gwy,1,425,7,8928,-0.0001760712912073,1.986544521059841e-05,-0.0001761196326697,-0.0001897001639008,-0.0001622034033061,-0.0002464026911184,-0.0001172198099084,ON,-4.4895728933600014e-05
CdTe_7per_425C_13.gwy,2,425,7,5472,-0.000147476181155,1.721278385957703e-05,-0.0001471580035286,-0.0001589379680808,-0.00013562219101,-0.0002231784601463,-9.256122575607152e-05,ON,-5.208456423126544e-05
CdTe_7per_425C_9.gwy,1,425,7,10198,-0.0001283893652725,2.81676220765803e-05,-0.0001262226287508,-0.0001425802911398,-0.0001105744995584,-0.000492957944516,-3.192187432432547e-05,OFF,-4.4895728933600014e-05
CdTe_7per_425C_9.gwy,2,425,7,4202,-0.0001017604517983,2.6809333576238718e-05,-0.0001000381453195,-0.0001155413119704,-8.564125710108783e-05,-0.0004599374369718,-2.035553552559577e-05,OFF,-5.208456423126544e-05
